activity_subtype_name,norm_time,activity_type_id
Спринт 1,1200,1
Спринт 2,1200,1
Спринт 3,1200,1
Спринт 4,1200,1
Спринт 5,1200,1
Спринт 6,1200,1
Спринт 7,1200,1
Спринт 8,1800,1
Спринт 9,1200,1
Спринт 10,1800,1
Спринт 11,1200,1
Проект модуля 1,1200,2
Проект модуля 2,660,2
Проект модуля 3,720,2
Выпускной проект,1200,5
Спринт 12,0,3
Спринт 13,0,3
Спринт 14,0,3
Спринт 15,0,3
Спринт 16,0,3
Спринт 12,0,4
Спринт 13,0,4
Спринт 14,0,4
Спринт 15,0,4
Спринт 16,0,4
Проект модуля 4,0,2
Проект модуля 5,0,2
Проект модуля 6,0,2
Проект модуля 7,0,2
Карьерный трек,0,1
BigData,0,1
ClickHouse,0,1
PySpark,0,1
AirFlow,0,1
Вебинар,0,1
AD Machine Learning,0,6
AD Линейная алгебра,0,6
AD Алгоритмы и структуры данных,0,6
AD YandexGPT,0,6
AD Python Lab,0,6
SQL Lab,0,6
AD Конструктивное общение,0,6
AD Аргументация в рабочей коммуникации,0,6
AD Анализ и принятие управленческих решений,0,6
sql-ex.ru (задачи),0,7
lab.karpov.courses,0,7
codewars.com,0,7
stepik.org,0,7
Study scheduler bot,0,8
